登録日,1営業日日付,銘柄コード,銘柄名,株価,MACD,PER,PBR,権利落日
2022-06-28,2022/06/29,8725,ＭＳ＆ＡＤ,4217,41.6,9.6,0.71,なし
2022-06-28,2022/06/29,1928,積水ハウス,2371.5,17.5,10.1,1.05,1月末日
2022-06-28,2022/06/29,8830,住友不動産,3644.0,42.3,10.8,1.06,なし
2022-06-28,2022/06/29,6923,スタンレー電気,2310,-23.8,15.0,0.85,なし
2022-06-28,2022/06/29,7912,大日本印刷,2981,7.7,12.0,0.73,なし
2022-06-28,2022/06/29,7272,ヤマハ発動機,2669,-1.0,6.9,1.01,12月末日・6月末日
2022-06-28,2022/06/29,4061,デンカ,3300,-11.9,9.8,0.99,なし
2022-06-28,2022/06/29,7203,トヨタ自動車,2167.5,8.1,13.2,1.13,なし
2022-06-28,2022/06/29,6479,ミネベアミツミ,2414,-30.0,12.9,1.82,なし
2022-06-28,2022/06/29,4403,日油,5100,57.2,16.6,1.88,なし
2022-06-28,2022/06/29,9432,日本電信電話,3967,-0.5,11.8,1.70,3月末日
2022-06-28,2022/06/29,8801,三井不動産,2983.0,48.1,14.9,1.01,なし
2022-06-28,2022/06/29,0000,日経平均株価,27049.47,0,0,0,なし
