5,19,4,2,3,3,6,6,13,5,2,5,2,3,2,2,2,5,6,12,6,7,6,13,3,2,4,6,7,2,12,5
登録日,1営業日日付,銘柄コード,銘柄名,株価,MACD,PER,PBR,権利落日,1営業日日付,1営業日株価,3営業日日付,3営業日株価,5営業日日付,5営業日株価
2022-04-27,2022-04-28,8766,東京海上,6894,-74.5,11.4,1.16,なし,22/04/28,7019,22/05/06,6993,22/05/10,6921
2022-04-27,2022-04-28,3088,マツキヨココ,4325,-26.4,17.4,1.31,3月末日・9月末日,22/04/28,4305,22/05/06,4455,22/05/10,4260
2022-04-27,2022-04-28,9989,サンドラッグ,2983,-34.6,13.6,1.62,3月末日,22/04/28,3020,22/05/06,3000,22/05/10,2955
2022-04-27,2022-04-28,8252,丸井グループ,2252,-0.5,27.3,1.68,3月末日・9月末日,22/04/28,2243,22/05/06,2331,22/05/10,2234
2022-04-27,2022-04-28,0000,日経平均株価,26386.63,0,0,0,なし,22/04/28,26847.90,22/05/06,27003.56,22/05/10,26167.10
2022-04-28,2022-04-30,7649,スギホールディングス,5580,-178.7,19.2,1.61,2月末日,22/05/02,3510,22/05/09,3505,22/05/11,3440
2022-04-28,2022-04-30,3231,野村不ＨＤ,3155,23.1,9.8,0.91,なし,22/05/02,2325,22/05/09,2307,22/05/11,2538
2022-04-28,2022-04-30,5214,日本電気硝子,2623,-29.0,8.1,0.48,なし,22/05/02,4000,22/05/09,4055,22/05/11,4170
2022-04-28,2022-04-30,7912,大日本印刷,2719,-73.6,10.5,0.67,なし,22/05/02,3105,22/05/09,3155,22/05/11,3090
2022-04-28,2022-04-30,8630,ＳＯＭＰＯ,5285,-51.5,10.2,0.87,なし,22/05/02,2289,22/05/09,2332,22/05/11,2284
2022-04-28,2022-04-30,6586,マキタ,3871.0,-76.0,17.8,1.41,3月末日,22/05/02,4423,22/05/09,4439,22/05/11,4421
2022-04-28,2022-04-30,6504,富士電機,5750,-103.7,13.9,1.74,6月末日,22/05/02,2670,22/05/09,2731,22/05/11,2701
2022-04-28,2022-04-30,6971,京セラ,6863,21.5,16.0,0.86,3月末日・9月末日,22/05/02,2419,22/05/09,2472,22/05/11,2419
2022-04-28,2022-04-30,2875,東洋水産,4005,-160.1,16.4,1.19,3月末日,22/05/02,2282,22/05/09,2297,22/05/11,2293
2022-04-28,2022-04-30,2229,カルビー,2325,-40.7,17.2,1.71,なし,22/05/02,5660,22/05/09,5790,22/05/11,5620
2022-04-28,2022-04-30,4091,日本酸素ＨＤ,2337,-24.7,15.1,1.77,なし,22/05/02,3752,22/05/09,3647,22/05/11,3798
2022-04-28,2022-04-30,7911,凸版印刷,2152,-27.1,6.3,0.51,3月末日,22/05/02,6765,22/05/09,6817,22/05/11,6877
2022-04-28,2022-04-30,6432,竹内製作所,2381,-79.5,12.0,1.09,なし,22/05/02,2228.0,22/05/09,2245.0,22/05/11,2082.0
2022-04-28,2022-04-30,6448,ブラザー工業,2264,-1.7,10.1,1.10,なし,22/05/02,5510,22/05/09,5250,22/05/11,5270
2022-04-28,2022-04-30,1801,大成建設,3525,-47.0,11.2,0.86,3月末日,22/05/02,2163,22/05/09,2173,22/05/11,2113
2022-04-28,2022-04-30,4578,大塚ホールディングス,4363,10.6,16.2,1.18,12月末日,22/05/02,2739,22/05/09,2747,22/05/11,2714
2022-04-28,2022-04-30,8725,ＭＳ＆ＡＤ,3881,-52.8,9.2,0.64,なし,22/05/02,5242,22/05/09,5315,22/05/11,5018
2022-04-28,2022-04-30,7203,トヨタ自動車,2235.5,19.3,12.4,1.24,なし,22/05/02,3881,22/05/09,3935,22/05/11,3755
2022-04-28,2022-04-30,0000,日経平均株価,26847.90,0,0,0,なし,22/05/02,26818.53,22/05/09,26319.34,22/05/11,26213.64
2022-05-12,2022-05-13,7013,ＩＨＩ,3235,14.0,12.2,1.28,なし,22/05/13,4900,22/05/17,4770,22/05/19,4770
2022-05-12,2022-05-13,5201,ＡＧＣ,4880,0.5,9.4,0.78,なし,22/05/13,3330,22/05/17,3305,22/05/19,3620
2022-05-12,2022-05-13,7259,アイシン,3805,-99.7,8.2,0.58,なし,22/05/13,3850,22/05/17,3830,22/05/19,3875
2022-05-12,2022-05-13,0000,日経平均株価,25748.72,0,0,0,なし,22/05/13,26427.65,22/05/17,26659.75,22/05/19,26402.84
2022-05-16,2022-05-17,8316,三井住友ＦＧ,3902,-21.7,7.3,0.44,なし,22/05/17,3845,22/05/19,3890,22/05/23,3895
2022-05-16,2022-05-17,0000,日経平均株価,26547.05,0,0,0,なし,22/05/17,26659.75,22/05/19,26402.84,22/05/23,27001.52
2022-05-19,2022-05-20,8304,あおぞら銀行,2618,0.8,8.5,0.62,なし,22/05/20,3380,22/05/24,3440,22/05/26,3365
